"Year","Lat","Lon","Density"
1982,57.35,-169.58333,14880.9937471682
1982,57.3,-168.96667,125.287726761964
1982,57.33333,-167.71667,1255.9448891031
1982,56.66667,-167.7,18136.7485413375
1982,58,-171.58333,15334.452988682
1982,57.63333,-171.58333,4975.63639415131
1982,56.66667,-167.06667,77.0009468299691
1982,56.33333,-167.65,177.99864734223
1982,56.33333,-167.03333,1374.70701825975
1982,57.66667,-170.9,1471.24862106321
1982,57,-167.68333,823.666366444522
1982,57,-168.96667,1635.01107418383
1982,56.96667,-168.36667,10756.082996599
1982,57.66667,-169.03333,1168.74051745119
1982,57.66667,-169.65,337.144626374211
1982,57.66667,-167.75,196.8039518004
1982,57.66667,-168.38333,338.174790510355
1982,57.66667,-170.28333,133.602201797565
1982,58,-170.31667,918.913711945964
1982,57.66667,-167.11667,2070.4579010838
1982,58.35,-170.93333,99.22193922912
1982,58.35,-171.56667,7434.52052524705
1982,58.66667,-172.28333,6737.27685565085
1982,58.68333,-172.88333,16021.3325226341
1982,58.66667,-173.43333,35849.4653104989
1982,59,-173.61667,7747.56776185352
1982,58,-172.08333,28174.8449643748
1982,56,-167,5748.75959543392
1982,58.85,-175.13333,3880.84883814097
1982,58.78333,-174.6,168.268429669038
1982,58.66667,-175.46667,13539.3352195291
1982,58.33333,-172.23333,480.199106940775
1982,57.63333,-164.56667,2568.30017884012
1982,58.31667,-166.51667,291.789107158591
1982,58.31667,-172.88333,74.542569546735
1982,58.03333,-172.81667,70.0225400346648
1982,57.98333,-164.58333,70.02768100768
1982,58.35,-164.6,75.0388883028058
1982,58.33333,-165.21667,73.8348681356777
1982,58.31667,-167.08333,147.669736271355
1982,58.28333,-165.91667,1232.28820013647
1982,57.33333,-164.55,294.79297199661
1982,58.33333,-167.73333,53576.7482961027
1982,58.68333,-169.15,18931.9450756553
1982,58.66667,-170.38333,737.422603455057
1982,58.7,-167.93333,673.48390117775
1982,58.7,-167.26667,1626.65352617038
1982,58.68333,-168.48333,20658.2671873661
1982,58.66667,-170.98333,652.994146737836
1982,58.68333,-169.76667,150.202757294988
1982,58.7,-166.63333,75.3350823701752
1982,58.68333,-165.96667,9408.66518186196
1982,58.35,-173.41667,53772.5871116057
1982,58.01667,-168.98333,3246.4779888994
1982,57.96667,-167.2,2184.71738873508
1982,58,-165.28333,82.0157519431874
1982,57.98333,-168.38333,409.104999352
1982,57.68333,-165.25,62427.5307482577
1982,58.01667,-166.56667,273.072288180712
1982,58,-169.63333,310.141877629077
